ICRF J012642.7+255901  0123+257    0.78    -1.7    16.9    0.32    0.50    0.03    0.07    24.0    35
ICRF J132905.8+500926  1327+504    0.99    41.3   -18.6    3.01    1.15    1.34    0.66    22.0    50
ICRF J065024.5-163739  0648-165    1.06   -10.6     6.8    0.37    0.42    0.14    0.22    29.3   357
ICRF J235753.2-531113  2355-534    1.29    -5.7    43.0    4.58    0.91    1.27    0.14    28.3   117
ICRF J022428.4+065923  0221+067    0.78    -7.3    13.6    0.33    1.21    0.10    0.10    27.9    82
ICRF J184233.6+680925  1842+681    1.01    17.8     0.9    2.03    0.31    0.74    0.20    36.1    75
ICRF J192332.1-210433  1920-211    1.07   -15.8    17.5    1.72    0.56    0.37    0.14    27.2   270
ICRF J162418.4-680912  1619-680    1.31   -46.6    -3.8    3.46    0.47    0.63    0.15    28.3    52
ICRF J104309.0+240835  1040+244    0.84   -10.7   -11.1    0.57    0.41    0.19    0.14    20.4   169
ICRF J163515.4+380804  1633+382    1.03     7.0    -2.8    2.50    0.83    0.32    0.09    36.4   592
ICRF J074554.0-004417  0743-006    1.09    10.4    34.9    0.22    0.61    0.12    0.13    31.6   118
ICRF J132901.1-560802  1325-558    1.32    34.5   209.4    6.30    1.20    1.80    0.22    12.5    38
ICRF J015218.0+220707  0149+218    0.86     8.7   -12.5    0.29    0.41    0.07    0.12    29.1    75
ICRF J215728.8+312701  2155+312    1.04   -21.9   -25.5    2.13    0.66    0.69    0.27    20.4   109
ICRF J080815.5-075109  0805-077    1.10   -37.7    34.3    0.36    0.55    0.00    0.00    28.4    32
ICRF J022256.4-344128  0220-349    1.33   -41.2   -29.5    0.57    0.98    0.35    0.24    25.9    60
ICRF J150424.9+102939  1502+106    0.88    -4.3     3.1    1.08    1.37    0.36    0.27    36.6   607
ICRF J201713.0+744047  2017+745    1.05     3.5   -12.4    5.42    0.46    0.51    0.16    25.1    39
ICRF J151344.8-101200  1511-100    1.11   -41.3    18.0    0.74    0.75    0.12    0.20    29.3    52
ICRF J193006.1-605609  1925-610    1.38    58.6   -46.4    3.93    0.62    1.42    0.31    28.0    46
ICRF J054734.1+272156  0544+273    0.89    12.7    -7.2    0.77    0.91    0.91    0.20    26.9   190
ICRF J165352.2+394536  1652+398    1.06    -3.5     7.4    1.29    0.42    0.42    0.13    31.7   336
ICRF J135446.5-104102  1352-104    1.16    39.1    26.0    0.79    0.65    0.56    0.30    19.5   104
ICRF J073856.4-673550  0738-674    1.38   178.8   340.7    1.99    0.79    0.97    0.23    23.6    25
ICRF J130020.9+141718  1257+145    0.90    -7.7    34.1    0.74    0.70    0.20    0.23    17.8    34
ICRF J180024.7+384830  1758+388    1.09    -2.4   -11.2    1.77    0.53    0.57    0.17    22.5   125
ICRF J012031.6-270124  0118-272    1.18   -26.9   114.1    0.80    1.39    0.16    0.56    22.7    24
ICRF J015310.1-331025  0150-334    1.40    76.3   -98.5    1.00    1.13    0.46    0.10    22.0    25
