## This list was generated at 2016-10-26 00:15:28
##format:
##soure  Num_ave    R.A.                 Decl.            
##                mean  Std  AStd WAd | mean  Std  AStd WAd
## Num_ave: Number of one-year average points
## unit: deg for mean while mas for the others
0507+179   12      77.5099       0.3691       0.2980       0.1318      18.0116       0.4724       0.3497       0.2228
0515+208    6      79.5159       0.4312       0.9189       0.5013      20.9146       1.0039       0.7100       0.5424
0516-621   11      79.1872       3.1754       0.7065       0.4336     -62.1182       2.1401       0.2120       0.1874
0521-365   12      80.7416       1.2231       0.8178       0.1591     -36.4586       0.6313       0.5768       0.2005
0522-611    5      80.6434       1.7973       0.6070       0.6000     -61.1325       0.7422       0.2670       0.2758
0524+034    7      81.8863       0.3229       0.1996       0.2393       3.5254       1.1833       0.7427       0.6289
0524-460    4      81.3808       3.3903       1.2340       1.1617     -45.9652       1.4764       0.8095       0.7831
0524-485    5      81.5695       2.9244       0.3341       0.3901     -48.5102       1.6034       0.5791       0.5808
0528-250    4      82.5332       0.5623       0.0572       0.0180     -25.0583       0.8617       0.1279       0.0185
0529+483    8      83.3161       0.3851       0.2310       0.0436      48.3813       0.2611       0.0886       0.0671
0530-727   10      82.3752       1.6671       3.0739       4.4858     -72.7579       0.6987      15.0018       5.4162
0534-340   11      84.1185       1.8713       0.6844       0.4341     -34.0199       0.9497       0.5504       0.7012
0534-611    5      83.6491       2.2378       0.7194       0.8425     -61.1020       0.7912       0.2612       0.2942
0536+145   12      84.9265       0.5207       0.1962       0.1809      14.5627       0.6026       0.2306       0.1675
0537-286   16      84.9762       1.1731       2.1487       0.8169     -28.6655       0.8423       1.2221       0.2438
0537-441   25      84.7098       1.0559       0.4584       0.1666     -44.0858       0.6391       0.2355       0.1539
0539-057    6      85.4087       0.4011       0.1140       0.1607      -5.6971       0.9675       0.8216       0.6202
0544+273   13      86.8923       0.7743       1.1680       0.9118      27.3658       0.9145       0.3785       0.2013
0548+378    5      88.0747       0.7031       0.4810       0.1498      37.9070       2.8008       3.4729       1.2765
0549-575    6      87.5399       1.3814       0.4429       0.4773     -57.5401       1.0549       0.4462       0.4841
0552+398   36      88.8784       0.6181       0.4528       0.0634      39.8137       0.4765       0.2267       0.0537
0556+238   21      89.8835       0.4468       0.1281       0.0808      23.8983       0.6180       0.0886       0.1003
0600+177    5      90.7880       0.5426       0.1496       0.0992      17.7047       0.5836       0.0987       0.0806
0601+245    1      91.2297       0.2646       0.1496       0.0000      24.4986       0.3267       0.0987       0.0000
0602+673   15      91.9695       0.5771       0.2750       0.0722      67.3487       0.2798       0.1245       0.0400
0605-085    7      91.9987       0.4200       0.1169       0.0531      -8.5805       0.6004       0.3225       0.0735
0606-223    6      92.2487       0.5122       0.1401       0.1524     -22.3392       0.5744       0.3120       0.2791
0607-157   15      92.4206       0.4011       0.1740       0.1612     -15.7113       0.5553       0.1241       0.1251
0609+607    3      93.5994       0.6507       0.1246       0.4452      60.7727       0.3211       0.0417       0.1161
0611+131    4      93.4904       2.1920       0.1796       0.1716      13.1126       2.6445       0.3515       0.3658
0613+570    7      94.3205       1.0696       0.8270       0.7716      57.0212       0.4475       2.0745       0.2755
0615+820    6      96.5125       0.6562       0.3559       0.1454      82.0404       0.3311       0.1987       0.1422
0620+389    2      96.0793       0.5736       0.0476       0.0476      38.9469       0.4638       0.0181       0.0181
0627-199    6      97.3490       0.4822       2.5009       0.2709     -19.9888       0.8890       0.5556       0.2828
0629-418    4      97.8000       2.3471       1.4318       1.7995     -41.9075       1.4126       1.5136       0.9618
0632-235    7      98.7458       1.0460       0.5930       0.2506     -23.5867       0.6905       0.5279       0.3440
0636+680   10     100.5177       0.7968       0.5726       0.0322      67.9766       0.3321       0.2780       0.0184
0637-337    2      99.8371       1.6694       0.5726       0.0000     -33.7667       1.1485       0.2780       0.0000
0637-752   23      98.9438       1.0606       0.3233       0.2345     -75.2713       0.4535       0.1359       0.1305
0641+392    7     101.2238       0.7883       0.3854       0.3016      39.2465       0.4908       0.2119       0.2092
0642+449   25     101.6334       0.4771       0.4528       0.0910      44.8546       0.2876       0.2942       0.0611
0646-306   10     102.0587       0.9298       3.1044       0.2778     -30.7388       0.8847       1.4537       0.4711
0648-165   15     102.6024       0.3719       0.6666       0.1403     -16.6277       0.4196       0.4372       0.2230
0650+371    2     103.4928       1.1377       0.6666       0.0000      37.0946       0.9006       0.4372       0.0000
0656+082   14     104.8250       0.4284       0.0972       0.0679       8.2253       0.9962       0.2854       0.1984
0657+172   22     105.0064       0.4253       0.3150       0.2031      17.1560       0.3249       0.3950       0.1189
0700-197    6     105.6788       1.4991       1.3311       0.6556     -19.8561       1.2533       0.7041       0.3094
0707+476    6     107.6921       0.6299       0.1839       0.1474      47.5364       0.4034       0.1623       0.1558
0714+457    6     109.4661       0.5789       0.2763       0.2090      45.6342       0.2949       0.1171       0.0958
0716+714   18     110.4727       0.6372       0.7178       0.0484      71.3434       0.3006       0.2356       0.0393
0718+792   21     111.5489       0.9969       0.1501       0.0989      79.1919       0.2449       0.0568       0.0359
0722+145    9     111.3200       0.5381       0.3579       0.2237      14.4205       0.6685       0.4600       0.1328
0723+219    6     111.5594       0.4049       0.1381       0.1263      21.8889       0.3487       0.1105       0.1279
0723-008   10     111.4610       0.7967       0.5168       0.1128      -0.9157       0.9856       0.4197       0.3831
0727-115   31     112.5796       0.7379       0.4136       0.0841     -11.6868       0.6891       0.9157       0.0833
0729+259    5     113.2345       0.5142       0.2514       0.2125      25.8108       0.6313       0.2625       0.2217
0735+178   14     114.5308       0.6446       0.1650       0.1190      17.7053       0.5767       0.2635       0.1682
0736+017   12     114.8251       0.2740       0.1805       0.0520       1.6179       0.3968       0.1289       0.0645
0738+491    7     115.5115       0.8575       0.1622       0.1359      49.0043       0.3365       0.1227       0.1117
0738-674    5     114.7354       1.9937       0.6055       0.9726     -67.5975       0.7908       0.1902       0.2332
0742+103   13     116.3877       0.7207       0.9770       0.0501      10.1869       1.0934       0.1733       0.0820
0743+259   14     116.6078       0.4193       0.0754       0.0628      25.8173       0.3261       0.0550       0.0605
0743+277    6     116.6685       0.7615       6.4045       0.5017      27.5831       0.3777       4.0828       0.3173
0743-006    7     116.4753       0.2210       0.0948       0.1212      -0.7382       0.6106       0.0586       0.1260
0743-673    5     115.8817       1.4977       0.9267       1.0514     -67.4404       0.5150       0.0867       0.1459
0745+241   15     117.1505       0.7524       0.3732       0.1759      24.0067       0.5331       0.1901       0.0997
0747+185    6     117.5014       0.6609       0.2621       0.2474      18.3865       0.4384       0.1241       0.1462
0748+126   12     117.7169       0.4430       0.0715       0.1001      12.5180       0.3447       0.0923       0.0695
0749+540   22     118.2558       0.8092       0.5317       0.1302      53.8832       0.3632       0.0612       0.0604
0754+100    7     119.2777       2.0483       0.9291       0.1006       9.9430       3.1295       1.3870       0.0463
0759+183    7     120.7001       0.7630       0.4779       0.3363      18.1637       1.1471       0.8534       0.2636
0800+618    7     121.3257       0.6877       0.2211       0.1741      61.7399       0.2733       0.1130       0.0715
0804+499   22     122.1653       0.7249       0.1410       0.1388      49.8435       0.3314       0.0798       0.0483
0805+410   22     122.2361       0.8664       0.3562       0.2215      40.8791       0.4458       0.1432       0.1184
0805-077    1     122.0647       0.3575       0.3562       0.0000      -7.8527       0.5468       0.1432       0.0000
0808+019   15     122.8613       0.2802       0.1121       0.0885       1.7812       0.8463       0.3259       0.1844
0812+367    7     123.8581       0.7594       0.3315       0.3310      36.5875       0.4466       0.1669       0.1539
0814+425   12     124.5667       0.7319       0.3418       0.0863      42.3793       0.3618       0.0514       0.0224
0818-128    4     125.2394       0.6931       0.1225       0.0709     -12.9831       0.5626       0.2076       0.0532
0820+560    6     126.1968       1.0177       0.0974       0.0824      55.8785       0.3847       0.1890       0.1324
0821+394    6     126.2312       0.5914       0.3723       0.0582      39.2783       0.3288       0.2965       0.0556
0823+033   27     126.4597       0.3155       0.1021       0.0550       3.1568       0.9610       0.6359       0.1372
0823-223    2     126.5066       1.2802       0.1021       0.0000     -22.5076       1.2955       0.6359       0.0000
0826-373    9     127.0199       0.9645       2.0246       0.3977     -37.5184       0.9131       1.0248       0.1913
0827+243   16     127.7170       0.4859       0.2313       0.2377      24.1833       0.3723       0.1814       0.2250
0829+046    6     127.9537       0.4189       0.1670       0.0755       4.4942       1.8918       0.3387       0.1705
0833+585    2     129.3434       1.7462       2.4901       2.4901      58.4172       0.4269       0.3309       0.3309
0834+250    1     129.4177       0.4146       2.4901       0.0000      24.9064       0.1575       0.3309       0.0000
0834-201    9     129.1634       0.6151       0.3462       0.3922     -20.2832       0.5275       0.4781       0.3727
0836+710    2     130.3515       0.7021       0.3462       0.0000      70.8950       0.2650       0.4781       0.0000
0847-120    6     132.5401       1.0119       0.1536       0.1347     -12.2265       0.5417       0.1183       0.1465
0850+581    2     133.6750       0.9902       0.2490       0.2490      57.9583       0.3516       0.0639       0.0639
0851+202   35     133.7036       0.9237       0.2556       0.0774      20.1085       0.5011       0.9212       0.0558
0854-108    7     134.1742       0.5084       0.2326       0.1742     -11.0873       0.5266       0.3473       0.2894
0859+470    8     135.7666       1.0556       0.9354       0.4402      46.8511       1.0485       0.1322       0.1080
0906+015    3     137.2920       0.4539       0.8397       0.8434       1.3599       0.9076       1.2756       1.1484
0912+029    8     138.6580       0.3436       0.0843       0.0773       2.7665       0.8259       0.5400       0.2698
0912+297    3     138.9683       1.3432       0.2154       0.2091      29.5567       1.1231       0.2253       0.2194
0917+449    5     140.2436       0.6309       0.1883       0.1942      44.6983       0.2876       0.0633       0.0435
0917+624   10     140.4010       0.7547       0.4349       0.2290      62.2645       0.2803       0.1575       0.0843
0919-260   18     140.3723       1.5114       1.7618       3.9171     -26.3121       0.8376       0.4612       0.1476
0920+390   14     140.8102       0.6294       0.2777       0.1709      38.8278       0.2843       0.1947       0.1101
0920-397   18     140.6934       3.4246       1.0536       0.9179     -39.9931       1.5339       0.5437       0.5608
0925-203   15     141.9659       1.2920       1.4453       0.3489     -20.5809       0.8143       0.9871       0.3061
0943+105    2     146.6461       0.2851       0.1291       0.1291      10.2850       0.5567       0.7201       0.7201
