0518+165 11  7 76.9290 1.5981 0.8561 1.4111 16.6395 0.5500 0.6806 0.2730  9
0521-365 23 19 64.9394 24.8435 82.1232 32.2355 -36.4586 11.1931 86.3165 15.4638  2
0522-611 16 12 38.9335 3.8740 3.5494 1.5464 -61.1325 1.8171 2.3660 0.6242 11
0524+034 10  7 81.7313 0.9971 0.6607 0.7770 3.5254 4.9968 3.1940 3.9339 10
0524-460 13  8 56.5674 3.4276 4.9990 4.1339 -45.9652 1.5101 3.9374 1.1273  3
0524-485 11  9 54.0387 2.7444 1.2760 1.0876 -48.5102 1.4922 0.8144 0.8673  2
0528-250 15 10 74.7649 0.5935 0.5584 0.4117 -25.0583 0.9813 1.1695 0.6957 10
0529+483 10  7 55.3360 0.6341 0.2339 0.2103 48.3813 0.4275 0.1064 0.0928  9
0530-727 15 10 24.4168 1.7605 3.6039 2.2932 -72.7579 4.9740 19.9585 9.3198  8
0534-340 14 13 69.7211 1.9040 5.6060 0.7886 -34.0199 0.9304 1.2184 0.7028  1
0534-611 11  8 40.4236 2.5483 4.2070 2.4783 -61.1020 1.0015 2.6654 0.9596 12
0536+145 20 16 82.1981 0.5223 0.7150 0.1726 14.5627 0.5924 1.7124 0.2403  4
0537-286 22 19 74.5611 3.6226 2.5848 1.7492 -28.6655 0.8606 1.3463 0.4544  3
0537-441 29 28 60.8470 1.7510 2.2296 0.3632 -44.0858 0.6655 1.9966 0.1738  1
0538+498 11  7 55.2244 0.6515 0.7993 0.7717 49.8520 0.4366 0.5238 0.5064  6
0539-057 16 12 84.9868 0.4460 0.3247 0.3689 -5.6971 1.0249 1.0871 1.0834  5
0544+273 22 19 77.1682 3.9544 1.3573 1.6644 27.3658 0.8482 0.5229 0.4599  5
